chr10_1	chr10_1	saccharide	RHC10H1G2071.2;RHC10H1G2072.2;RHC10H1G2073.2;RHC10H1G2074.2;RHC10H1G2075.2;RHC10H1G2076.2;RHC10H1G2077.2;RHC10H1G2078.2;RHC10H1G2079.2;RHC10H1G2080.2;RHC10H1G2081.2;RHC10H1G2082.2;RHC10H1G2083.2;RHC10H1G2084.2;RHC10H1G2085.2;RHC10H1G2086.2;RHC10H1G2087.2;RHC10H1G2088.2;RHC10H1G2089.2;RHC10H1G2090.2;RHC10H1G2091.2;RHC10H1G2092.2;RHC10H1G2093.2;RHC10H1G2094.2	RHC10H1G2071.2;RHC10H1G2072.2;RHC10H1G2073.2;RHC10H1G2074.2;RHC10H1G2075.2;RHC10H1G2076.2;RHC10H1G2077.2;RHC10H1G2078.2;RHC10H1G2079.2;RHC10H1G2080.2;RHC10H1G2081.2;RHC10H1G2082.2;RHC10H1G2083.2;RHC10H1G2084.2;RHC10H1G2085.2;RHC10H1G2086.2;RHC10H1G2087.2;RHC10H1G2088.2;RHC10H1G2089.2;RHC10H1G2090.2;RHC10H1G2091.2;RHC10H1G2092.2;RHC10H1G2093.2;RHC10H1G2094.2
chr5_1	chr5_1	cyclopeptide	RHC05H1G0872.2;RHC05H1G0873.2;RHC05H1G0874.2;RHC05H1G0875.2;RHC05H1G0876.2;RHC05H1G0877.2;RHC05H1G0878.2;RHC05H1G0879.2;RHC05H1G0880.2;RHC05H1G0881.2;RHC05H1G0882.2;RHC05H1G0883.2;RHC05H1G0884.2;RHC05H1G0885.2;RHC05H1G0886.2;RHC05H1G0887.2;RHC05H1G0888.2;RHC05H1G0889.2;RHC05H1G0890.2;RHC05H1G0891.2;RHC05H1G0892.2;RHC05H1G0893.2;RHC05H1G0894.2;RHC05H1G0895.2;RHC05H1G0896.2;RHC05H1G0897.2;RHC05H1G0898.2;RHC05H1G0899.2;RHC05H1G0900.2;RHC05H1G0901.2;RHC05H1G0902.2;RHC05H1G0903.2;RHC05H1G0904.2;RHC05H1G0905.2;RHC05H1G0906.2;RHC05H1G0907.2;RHC05H1G0908.2;RHC05H1G0909.2;RHC05H1G0910.2;RHC05H1G0911.2;RHC05H1G0912.2;RHC05H1G0913.2;RHC05H1G0914.2;RHC05H1G0915.2;RHC05H1G0916.2;RHC05H1G0917.2;RHC05H1G0918.2;RHC05H1G0919.2;RHC05H1G0920.2;RHC05H1G0921.2;RHC05H1G0922.2;RHC05H1G0923.2;RHC05H1G0924.2;RHC05H1G0925.2;RHC05H1G0926.2;RHC05H1G0927.2;RHC05H1G0928.2;RHC05H1G0929.2;RHC05H1G0930.2;RHC05H1G0931.2;RHC05H1G0932.2;RHC05H1G0933.2;RHC05H1G0934.2;RHC05H1G0935.2;RHC05H1G0936.2;RHC05H1G0937.2;RHC05H1G0938.2;RHC05H1G0939.2;RHC05H1G0940.2;RHC05H1G0941.2	RHC05H1G0872.2;RHC05H1G0873.2;RHC05H1G0874.2;RHC05H1G0875.2;RHC05H1G0876.2;RHC05H1G0877.2;RHC05H1G0878.2;RHC05H1G0879.2;RHC05H1G0880.2;RHC05H1G0881.2;RHC05H1G0882.2;RHC05H1G0883.2;RHC05H1G0884.2;RHC05H1G0885.2;RHC05H1G0886.2;RHC05H1G0887.2;RHC05H1G0888.2;RHC05H1G0889.2;RHC05H1G0890.2;RHC05H1G0891.2;RHC05H1G0892.2;RHC05H1G0893.2;RHC05H1G0894.2;RHC05H1G0895.2;RHC05H1G0896.2;RHC05H1G0897.2;RHC05H1G0898.2;RHC05H1G0899.2;RHC05H1G0900.2;RHC05H1G0901.2;RHC05H1G0902.2;RHC05H1G0903.2;RHC05H1G0904.2;RHC05H1G0905.2;RHC05H1G0906.2;RHC05H1G0907.2;RHC05H1G0908.2;RHC05H1G0909.2;RHC05H1G0910.2;RHC05H1G0911.2;RHC05H1G0912.2;RHC05H1G0913.2;RHC05H1G0914.2;RHC05H1G0915.2;RHC05H1G0916.2;RHC05H1G0917.2;RHC05H1G0918.2;RHC05H1G0919.2;RHC05H1G0920.2;RHC05H1G0921.2;RHC05H1G0922.2;RHC05H1G0923.2;RHC05H1G0924.2;RHC05H1G0925.2;RHC05H1G0926.2;RHC05H1G0927.2;RHC05H1G0928.2;RHC05H1G0929.2;RHC05H1G0930.2;RHC05H1G0931.2;RHC05H1G0932.2;RHC05H1G0933.2;RHC05H1G0934.2;RHC05H1G0935.2;RHC05H1G0936.2;RHC05H1G0937.2;RHC05H1G0938.2;RHC05H1G0939.2;RHC05H1G0940.2;RHC05H1G0941.2
chr5_1	chr5_1	saccharide-terpene	RHC05H1G2108.2;RHC05H1G2109.2;RHC05H1G2110.2;RHC05H1G2111.2;RHC05H1G2112.2;RHC05H1G2113.2;RHC05H1G2114.2;RHC05H1G2115.2;RHC05H1G2116.2;RHC05H1G2117.2;RHC05H1G2118.2;RHC05H1G2119.2;RHC05H1G2120.2	RHC05H1G2108.2;RHC05H1G2109.2;RHC05H1G2110.2;RHC05H1G2111.2;RHC05H1G2112.2;RHC05H1G2113.2;RHC05H1G2114.2;RHC05H1G2115.2;RHC05H1G2116.2;RHC05H1G2117.2;RHC05H1G2118.2;RHC05H1G2119.2;RHC05H1G2120.2
chr5_1	chr5_1	saccharide-alkaloid	RHC05H1G2506.2;RHC05H1G2507.2;RHC05H1G2508.2;RHC05H1G2509.2;RHC05H1G2510.2;RHC05H1G2511.2;RHC05H1G2512.2;RHC05H1G2513.2;RHC05H1G2514.2;RHC05H1G2515.2;RHC05H1G2516.2;RHC05H1G2517.2;RHC05H1G2518.2;RHC05H1G2519.2;RHC05H1G2520.2	RHC05H1G2506.2;RHC05H1G2507.2;RHC05H1G2508.2;RHC05H1G2509.2;RHC05H1G2510.2;RHC05H1G2511.2;RHC05H1G2512.2;RHC05H1G2513.2;RHC05H1G2514.2;RHC05H1G2515.2;RHC05H1G2516.2;RHC05H1G2517.2;RHC05H1G2518.2;RHC05H1G2519.2;RHC05H1G2520.2
chr5_1	chr5_1	saccharide	RHC05H1G2684.2;RHC05H1G2685.2;RHC05H1G2686.2;RHC05H1G2687.2;RHC05H1G2688.2;RHC05H1G2689.2;RHC05H1G2690.2;RHC05H1G2691.2;RHC05H1G2692.2;RHC05H1G2693.2	RHC05H1G2684.2;RHC05H1G2685.2;RHC05H1G2686.2;RHC05H1G2687.2;RHC05H1G2688.2;RHC05H1G2689.2;RHC05H1G2690.2;RHC05H1G2691.2;RHC05H1G2692.2;RHC05H1G2693.2
chr5_2	chr5_2	cyclopeptide	RHC05H2G0722.2;RHC05H2G0723.2;RHC05H2G0724.2;RHC05H2G0725.2;RHC05H2G0726.2;RHC05H2G0727.2;RHC05H2G0728.2;RHC05H2G0729.2;RHC05H2G0730.2;RHC05H2G0731.2;RHC05H2G0732.2;RHC05H2G0733.2;RHC05H2G0734.2;RHC05H2G0735.2;RHC05H2G0736.2;RHC05H2G0737.2;RHC05H2G0738.2;RHC05H2G0739.2;RHC05H2G0740.2;RHC05H2G0741.2;RHC05H2G0742.2;RHC05H2G0743.2;RHC05H2G0744.2;RHC05H2G0745.2;RHC05H2G0746.2;RHC05H2G0747.2;RHC05H2G0748.2;RHC05H2G0749.2;RHC05H2G0750.2;RHC05H2G0751.2;RHC05H2G0752.2;RHC05H2G0753.2;RHC05H2G0754.2;RHC05H2G0755.2;RHC05H2G0756.2;RHC05H2G0757.2;RHC05H2G0758.2;RHC05H2G0759.2;RHC05H2G0760.2;RHC05H2G0761.2;RHC05H2G0762.2;RHC05H2G0763.2;RHC05H2G0764.2;RHC05H2G0765.2	RHC05H2G0722.2;RHC05H2G0723.2;RHC05H2G0724.2;RHC05H2G0725.2;RHC05H2G0726.2;RHC05H2G0727.2;RHC05H2G0728.2;RHC05H2G0729.2;RHC05H2G0730.2;RHC05H2G0731.2;RHC05H2G0732.2;RHC05H2G0733.2;RHC05H2G0734.2;RHC05H2G0735.2;RHC05H2G0736.2;RHC05H2G0737.2;RHC05H2G0738.2;RHC05H2G0739.2;RHC05H2G0740.2;RHC05H2G0741.2;RHC05H2G0742.2;RHC05H2G0743.2;RHC05H2G0744.2;RHC05H2G0745.2;RHC05H2G0746.2;RHC05H2G0747.2;RHC05H2G0748.2;RHC05H2G0749.2;RHC05H2G0750.2;RHC05H2G0751.2;RHC05H2G0752.2;RHC05H2G0753.2;RHC05H2G0754.2;RHC05H2G0755.2;RHC05H2G0756.2;RHC05H2G0757.2;RHC05H2G0758.2;RHC05H2G0759.2;RHC05H2G0760.2;RHC05H2G0761.2;RHC05H2G0762.2;RHC05H2G0763.2;RHC05H2G0764.2;RHC05H2G0765.2
chr5_2	chr5_2	saccharide-terpene	RHC05H2G1513.2;RHC05H2G1514.2;RHC05H2G1515.2;RHC05H2G1516.2;RHC05H2G1517.2;RHC05H2G1518.2;RHC05H2G1519.2;RHC05H2G1520.2;RHC05H2G1521.2	RHC05H2G1513.2;RHC05H2G1514.2;RHC05H2G1515.2;RHC05H2G1516.2;RHC05H2G1517.2;RHC05H2G1518.2;RHC05H2G1519.2;RHC05H2G1520.2;RHC05H2G1521.2
chr5_2	chr5_2	polyketide	RHC05H2G1985.2;RHC05H2G1986.2;RHC05H2G1987.2;RHC05H2G1988.2;RHC05H2G1989.2;RHC05H2G1990.2;RHC05H2G1991.2;RHC05H2G1992.2;RHC05H2G1993.2;RHC05H2G1994.2	RHC05H2G1985.2;RHC05H2G1986.2;RHC05H2G1987.2;RHC05H2G1988.2;RHC05H2G1989.2;RHC05H2G1990.2;RHC05H2G1991.2;RHC05H2G1992.2;RHC05H2G1993.2;RHC05H2G1994.2
chr6_1	chr6_1	terpene	RHC06H1G1699.2;RHC06H1G1700.2;RHC06H1G1701.2;RHC06H1G1702.2;RHC06H1G1703.2;RHC06H1G1704.2;RHC06H1G1705.2;RHC06H1G1706.2;RHC06H1G1707.2;RHC06H1G1708.2;RHC06H1G1709.2;RHC06H1G1710.2;RHC06H1G1711.2;RHC06H1G1712.2;RHC06H1G1713.2;RHC06H1G1714.2;RHC06H1G1715.2;RHC06H1G1716.2;RHC06H1G1717.2;RHC06H1G1718.2;RHC06H1G1719.2;RHC06H1G1720.2;RHC06H1G1721.2;RHC06H1G1722.2;RHC06H1G1723.2;RHC06H1G1724.2;RHC06H1G1725.2;RHC06H1G1726.2;RHC06H1G1727.2;RHC06H1G1728.2;RHC06H1G1729.2	RHC06H1G1699.2;RHC06H1G1700.2;RHC06H1G1701.2;RHC06H1G1702.2;RHC06H1G1703.2;RHC06H1G1704.2;RHC06H1G1705.2;RHC06H1G1706.2;RHC06H1G1707.2;RHC06H1G1708.2;RHC06H1G1709.2;RHC06H1G1710.2;RHC06H1G1711.2;RHC06H1G1712.2;RHC06H1G1713.2;RHC06H1G1714.2;RHC06H1G1715.2;RHC06H1G1716.2;RHC06H1G1717.2;RHC06H1G1718.2;RHC06H1G1719.2;RHC06H1G1720.2;RHC06H1G1721.2;RHC06H1G1722.2;RHC06H1G1723.2;RHC06H1G1724.2;RHC06H1G1725.2;RHC06H1G1726.2;RHC06H1G1727.2;RHC06H1G1728.2;RHC06H1G1729.2
chr6_1	chr6_1	terpene	RHC06H1G1744.2;RHC06H1G1745.2;RHC06H1G1746.2;RHC06H1G1747.2;RHC06H1G1748.2;RHC06H1G1749.2;RHC06H1G1750.2;RHC06H1G1751.2;RHC06H1G1752.2;RHC06H1G1753.2;RHC06H1G1754.2;RHC06H1G1755.2;RHC06H1G1756.2;RHC06H1G1757.2;RHC06H1G1758.2;RHC06H1G1759.2;RHC06H1G1760.2;RHC06H1G1761.2	RHC06H1G1744.2;RHC06H1G1745.2;RHC06H1G1746.2;RHC06H1G1747.2;RHC06H1G1748.2;RHC06H1G1749.2;RHC06H1G1750.2;RHC06H1G1751.2;RHC06H1G1752.2;RHC06H1G1753.2;RHC06H1G1754.2;RHC06H1G1755.2;RHC06H1G1756.2;RHC06H1G1757.2;RHC06H1G1758.2;RHC06H1G1759.2;RHC06H1G1760.2;RHC06H1G1761.2
chr6_1	chr6_1	putative	RHC06H1G2268.2;RHC06H1G2269.2;RHC06H1G2270.2;RHC06H1G2271.2;RHC06H1G2272.2;RHC06H1G2273.2;RHC06H1G2274.2;RHC06H1G2275.2;RHC06H1G2276.2;RHC06H1G2277.2;RHC06H1G2278.2;RHC06H1G2279.2;RHC06H1G2280.2;RHC06H1G2281.2;RHC06H1G2282.2;RHC06H1G2283.2;RHC06H1G2284.2	RHC06H1G2268.2;RHC06H1G2269.2;RHC06H1G2270.2;RHC06H1G2271.2;RHC06H1G2272.2;RHC06H1G2273.2;RHC06H1G2274.2;RHC06H1G2275.2;RHC06H1G2276.2;RHC06H1G2277.2;RHC06H1G2278.2;RHC06H1G2279.2;RHC06H1G2280.2;RHC06H1G2281.2;RHC06H1G2282.2;RHC06H1G2283.2;RHC06H1G2284.2
chr6_1	chr6_1	cyclopeptide	RHC06H1G2670.2;RHC06H1G2671.2;RHC06H1G2672.2;RHC06H1G2673.2;RHC06H1G2674.2;RHC06H1G2675.2;RHC06H1G2676.2;RHC06H1G2677.2;RHC06H1G2678.2;RHC06H1G2679.2;RHC06H1G2680.2;RHC06H1G2681.2;RHC06H1G2682.2;RHC06H1G2683.2;RHC06H1G2684.2;RHC06H1G2685.2;RHC06H1G2686.2;RHC06H1G2687.2;RHC06H1G2688.2;RHC06H1G2689.2;RHC06H1G2690.2;RHC06H1G2691.2;RHC06H1G2692.2;RHC06H1G2693.2;RHC06H1G2694.2;RHC06H1G2695.2;RHC06H1G2696.2;RHC06H1G2697.2;RHC06H1G2698.2;RHC06H1G2699.2;RHC06H1G2700.2;RHC06H1G2701.2;RHC06H1G2702.2;RHC06H1G2703.2;RHC06H1G2704.2;RHC06H1G2705.2;RHC06H1G2706.2;RHC06H1G2707.2;RHC06H1G2708.2;RHC06H1G2709.2;RHC06H1G2710.2;RHC06H1G2711.2;RHC06H1G2712.2	RHC06H1G2670.2;RHC06H1G2671.2;RHC06H1G2672.2;RHC06H1G2673.2;RHC06H1G2674.2;RHC06H1G2675.2;RHC06H1G2676.2;RHC06H1G2677.2;RHC06H1G2678.2;RHC06H1G2679.2;RHC06H1G2680.2;RHC06H1G2681.2;RHC06H1G2682.2;RHC06H1G2683.2;RHC06H1G2684.2;RHC06H1G2685.2;RHC06H1G2686.2;RHC06H1G2687.2;RHC06H1G2688.2;RHC06H1G2689.2;RHC06H1G2690.2;RHC06H1G2691.2;RHC06H1G2692.2;RHC06H1G2693.2;RHC06H1G2694.2;RHC06H1G2695.2;RHC06H1G2696.2;RHC06H1G2697.2;RHC06H1G2698.2;RHC06H1G2699.2;RHC06H1G2700.2;RHC06H1G2701.2;RHC06H1G2702.2;RHC06H1G2703.2;RHC06H1G2704.2;RHC06H1G2705.2;RHC06H1G2706.2;RHC06H1G2707.2;RHC06H1G2708.2;RHC06H1G2709.2;RHC06H1G2710.2;RHC06H1G2711.2;RHC06H1G2712.2
chr6_1	chr6_1	saccharide	RHC06H1G2831.2;RHC06H1G2832.2;RHC06H1G2833.2;RHC06H1G2834.2;RHC06H1G2835.2;RHC06H1G2836.2;RHC06H1G2837.2;RHC06H1G2838.2;RHC06H1G2839.2	RHC06H1G2831.2;RHC06H1G2832.2;RHC06H1G2833.2;RHC06H1G2834.2;RHC06H1G2835.2;RHC06H1G2836.2;RHC06H1G2837.2;RHC06H1G2838.2;RHC06H1G2839.2
chr6_2	chr6_2	terpene	RHC06H2G0120.2;RHC06H2G0121.2;RHC06H2G0122.2;RHC06H2G0123.2;RHC06H2G0124.2;RHC06H2G0125.2;RHC06H2G0126.2;RHC06H2G0127.2;RHC06H2G0128.2;RHC06H2G0129.2;RHC06H2G0130.2;RHC06H2G0131.2;RHC06H2G0132.2;RHC06H2G0133.2	RHC06H2G0120.2;RHC06H2G0121.2;RHC06H2G0122.2;RHC06H2G0123.2;RHC06H2G0124.2;RHC06H2G0125.2;RHC06H2G0126.2;RHC06H2G0127.2;RHC06H2G0128.2;RHC06H2G0129.2;RHC06H2G0130.2;RHC06H2G0131.2;RHC06H2G0132.2;RHC06H2G0133.2
chr6_2	chr6_2	saccharide	RHC06H2G0709.2;RHC06H2G0710.2;RHC06H2G0711.2;RHC06H2G0712.2;RHC06H2G0713.2;RHC06H2G0714.2	RHC06H2G0709.2;RHC06H2G0710.2;RHC06H2G0711.2;RHC06H2G0712.2;RHC06H2G0713.2;RHC06H2G0714.2
chr6_2	chr6_2	terpene	RHC06H2G1485.2;RHC06H2G1486.2;RHC06H2G1487.2;RHC06H2G1488.2;RHC06H2G1489.2;RHC06H2G1490.2;RHC06H2G1491.2;RHC06H2G1492.2	RHC06H2G1485.2;RHC06H2G1486.2;RHC06H2G1487.2;RHC06H2G1488.2;RHC06H2G1489.2;RHC06H2G1490.2;RHC06H2G1491.2;RHC06H2G1492.2
chr6_2	chr6_2	terpene	RHC06H2G1498.2;RHC06H2G1499.2;RHC06H2G1500.2;RHC06H2G1501.2;RHC06H2G1502.2;RHC06H2G1503.2;RHC06H2G1504.2;RHC06H2G1505.2;RHC06H2G1506.2;RHC06H2G1507.2;RHC06H2G1508.2;RHC06H2G1509.2;RHC06H2G1510.2;RHC06H2G1511.2;RHC06H2G1512.2;RHC06H2G1513.2;RHC06H2G1514.2;RHC06H2G1515.2;RHC06H2G1516.2;RHC06H2G1517.2;RHC06H2G1518.2;RHC06H2G1519.2;RHC06H2G1520.2;RHC06H2G1521.2;RHC06H2G1522.2;RHC06H2G1523.2;RHC06H2G1524.2;RHC06H2G1525.2;RHC06H2G1526.2;RHC06H2G1527.2;RHC06H2G1528.2;RHC06H2G1529.2;RHC06H2G1530.2;RHC06H2G1531.2;RHC06H2G1532.2;RHC06H2G1533.2;RHC06H2G1534.2;RHC06H2G1535.2;RHC06H2G1536.2;RHC06H2G1537.2;RHC06H2G1538.2;RHC06H2G1539.2;RHC06H2G1540.2;RHC06H2G1541.2;RHC06H2G1542.2;RHC06H2G1543.2;RHC06H2G1544.2;RHC06H2G1545.2;RHC06H2G1546.2;RHC06H2G1547.2;RHC06H2G1548.2;RHC06H2G1549.2;RHC06H2G1550.2;RHC06H2G1551.2;RHC06H2G1552.2;RHC06H2G1553.2;RHC06H2G1554.2;RHC06H2G1555.2;RHC06H2G1556.2;RHC06H2G1557.2;RHC06H2G1558.2;RHC06H2G1559.2;RHC06H2G1560.2;RHC06H2G1561.2;RHC06H2G1562.2;RHC06H2G1563.2;RHC06H2G1564.2;RHC06H2G1565.2;RHC06H2G1566.2;RHC06H2G1567.2;RHC06H2G1568.2;RHC06H2G1569.2;RHC06H2G1570.2;RHC06H2G1571.2;RHC06H2G1572.2;RHC06H2G1573.2;RHC06H2G1574.2;RHC06H2G1575.2;RHC06H2G1576.2;RHC06H2G1577.2;RHC06H2G1578.2;RHC06H2G1579.2;RHC06H2G1580.2;RHC06H2G1581.2;RHC06H2G1582.2;RHC06H2G1583.2;RHC06H2G1584.2	RHC06H2G1498.2;RHC06H2G1499.2;RHC06H2G1500.2;RHC06H2G1501.2;RHC06H2G1502.2;RHC06H2G1503.2;RHC06H2G1504.2;RHC06H2G1505.2;RHC06H2G1506.2;RHC06H2G1507.2;RHC06H2G1508.2;RHC06H2G1509.2;RHC06H2G1510.2;RHC06H2G1511.2;RHC06H2G1512.2;RHC06H2G1513.2;RHC06H2G1514.2;RHC06H2G1515.2;RHC06H2G1516.2;RHC06H2G1517.2;RHC06H2G1518.2;RHC06H2G1519.2;RHC06H2G1520.2;RHC06H2G1521.2;RHC06H2G1522.2;RHC06H2G1523.2;RHC06H2G1524.2;RHC06H2G1525.2;RHC06H2G1526.2;RHC06H2G1527.2;RHC06H2G1528.2;RHC06H2G1529.2;RHC06H2G1530.2;RHC06H2G1531.2;RHC06H2G1532.2;RHC06H2G1533.2;RHC06H2G1534.2;RHC06H2G1535.2;RHC06H2G1536.2;RHC06H2G1537.2;RHC06H2G1538.2;RHC06H2G1539.2;RHC06H2G1540.2;RHC06H2G1541.2;RHC06H2G1542.2;RHC06H2G1543.2;RHC06H2G1544.2;RHC06H2G1545.2;RHC06H2G1546.2;RHC06H2G1547.2;RHC06H2G1548.2;RHC06H2G1549.2;RHC06H2G1550.2;RHC06H2G1551.2;RHC06H2G1552.2;RHC06H2G1553.2;RHC06H2G1554.2;RHC06H2G1555.2;RHC06H2G1556.2;RHC06H2G1557.2;RHC06H2G1558.2;RHC06H2G1559.2;RHC06H2G1560.2;RHC06H2G1561.2;RHC06H2G1562.2;RHC06H2G1563.2;RHC06H2G1564.2;RHC06H2G1565.2;RHC06H2G1566.2;RHC06H2G1567.2;RHC06H2G1568.2;RHC06H2G1569.2;RHC06H2G1570.2;RHC06H2G1571.2;RHC06H2G1572.2;RHC06H2G1573.2;RHC06H2G1574.2;RHC06H2G1575.2;RHC06H2G1576.2;RHC06H2G1577.2;RHC06H2G1578.2;RHC06H2G1579.2;RHC06H2G1580.2;RHC06H2G1581.2;RHC06H2G1582.2;RHC06H2G1583.2;RHC06H2G1584.2
chr6_2	chr6_2	terpene	RHC06H2G1643.2;RHC06H2G1644.2;RHC06H2G1645.2;RHC06H2G1646.2;RHC06H2G1647.2;RHC06H2G1648.2;RHC06H2G1649.2;RHC06H2G1650.2;RHC06H2G1651.2	RHC06H2G1643.2;RHC06H2G1644.2;RHC06H2G1645.2;RHC06H2G1646.2;RHC06H2G1647.2;RHC06H2G1648.2;RHC06H2G1649.2;RHC06H2G1650.2;RHC06H2G1651.2
chr6_2	chr6_2	saccharide	RHC06H2G1786.2;RHC06H2G1787.2;RHC06H2G1788.2;RHC06H2G1789.2;RHC06H2G1790.2;RHC06H2G1791.2	RHC06H2G1786.2;RHC06H2G1787.2;RHC06H2G1788.2;RHC06H2G1789.2;RHC06H2G1790.2;RHC06H2G1791.2
chr6_2	chr6_2	putative	RHC06H2G2179.2;RHC06H2G2180.2;RHC06H2G2181.2;RHC06H2G2182.2;RHC06H2G2183.2;RHC06H2G2184.2;RHC06H2G2185.2;RHC06H2G2186.2;RHC06H2G2187.2;RHC06H2G2188.2;RHC06H2G2189.2;RHC06H2G2190.2;RHC06H2G2191.2;RHC06H2G2192.2;RHC06H2G2193.2;RHC06H2G2194.2;RHC06H2G2195.2;RHC06H2G2196.2	RHC06H2G2179.2;RHC06H2G2180.2;RHC06H2G2181.2;RHC06H2G2182.2;RHC06H2G2183.2;RHC06H2G2184.2;RHC06H2G2185.2;RHC06H2G2186.2;RHC06H2G2187.2;RHC06H2G2188.2;RHC06H2G2189.2;RHC06H2G2190.2;RHC06H2G2191.2;RHC06H2G2192.2;RHC06H2G2193.2;RHC06H2G2194.2;RHC06H2G2195.2;RHC06H2G2196.2
chr6_2	chr6_2	cyclopeptide	RHC06H2G2585.2;RHC06H2G2586.2;RHC06H2G2587.2;RHC06H2G2588.2;RHC06H2G2589.2;RHC06H2G2590.2;RHC06H2G2591.2;RHC06H2G2592.2;RHC06H2G2593.2;RHC06H2G2594.2;RHC06H2G2595.2;RHC06H2G2596.2;RHC06H2G2597.2;RHC06H2G2598.2;RHC06H2G2599.2;RHC06H2G2600.2;RHC06H2G2601.2;RHC06H2G2602.2;RHC06H2G2603.2;RHC06H2G2604.2;RHC06H2G2605.2;RHC06H2G2606.2;RHC06H2G2607.2;RHC06H2G2608.2;RHC06H2G2609.2;RHC06H2G2610.2;RHC06H2G2611.2;RHC06H2G2612.2;RHC06H2G2613.2;RHC06H2G2614.2;RHC06H2G2615.2;RHC06H2G2616.2;RHC06H2G2617.2;RHC06H2G2618.2;RHC06H2G2619.2;RHC06H2G2620.2;RHC06H2G2621.2;RHC06H2G2622.2;RHC06H2G2623.2;RHC06H2G2624.2;RHC06H2G2625.2;RHC06H2G2626.2;RHC06H2G2627.2;RHC06H2G2628.2	RHC06H2G2585.2;RHC06H2G2586.2;RHC06H2G2587.2;RHC06H2G2588.2;RHC06H2G2589.2;RHC06H2G2590.2;RHC06H2G2591.2;RHC06H2G2592.2;RHC06H2G2593.2;RHC06H2G2594.2;RHC06H2G2595.2;RHC06H2G2596.2;RHC06H2G2597.2;RHC06H2G2598.2;RHC06H2G2599.2;RHC06H2G2600.2;RHC06H2G2601.2;RHC06H2G2602.2;RHC06H2G2603.2;RHC06H2G2604.2;RHC06H2G2605.2;RHC06H2G2606.2;RHC06H2G2607.2;RHC06H2G2608.2;RHC06H2G2609.2;RHC06H2G2610.2;RHC06H2G2611.2;RHC06H2G2612.2;RHC06H2G2613.2;RHC06H2G2614.2;RHC06H2G2615.2;RHC06H2G2616.2;RHC06H2G2617.2;RHC06H2G2618.2;RHC06H2G2619.2;RHC06H2G2620.2;RHC06H2G2621.2;RHC06H2G2622.2;RHC06H2G2623.2;RHC06H2G2624.2;RHC06H2G2625.2;RHC06H2G2626.2;RHC06H2G2627.2;RHC06H2G2628.2
chr6_2	chr6_2	saccharide	RHC06H2G2745.2;RHC06H2G2746.2;RHC06H2G2747.2;RHC06H2G2748.2;RHC06H2G2749.2;RHC06H2G2750.2;RHC06H2G2751.2;RHC06H2G2752.2;RHC06H2G2753.2	RHC06H2G2745.2;RHC06H2G2746.2;RHC06H2G2747.2;RHC06H2G2748.2;RHC06H2G2749.2;RHC06H2G2750.2;RHC06H2G2751.2;RHC06H2G2752.2;RHC06H2G2753.2
chr7_1	chr7_1	terpene	RHC07H1G1340.2;RHC07H1G1341.2;RHC07H1G1342.2;RHC07H1G1343.2;RHC07H1G1344.2	RHC07H1G1340.2;RHC07H1G1341.2;RHC07H1G1342.2;RHC07H1G1343.2;RHC07H1G1344.2
chr7_1	chr7_1	putative	RHC07H1G1358.2;RHC07H1G1359.2;RHC07H1G1360.2;RHC07H1G1361.2;RHC07H1G1362.2;RHC07H1G1363.2;RHC07H1G1364.2;RHC07H1G1365.2;RHC07H1G1366.2;RHC07H1G1367.2;RHC07H1G1368.2;RHC07H1G1369.2;RHC07H1G1370.2;RHC07H1G1371.2;RHC07H1G1372.2;RHC07H1G1373.2;RHC07H1G1374.2;RHC07H1G1375.2;RHC07H1G1376.2;RHC07H1G1377.2;RHC07H1G1378.2;RHC07H1G1379.2;RHC07H1G1380.2;RHC07H1G1381.2;RHC07H1G1382.2;RHC07H1G1383.2;RHC07H1G1384.2;RHC07H1G1385.2;RHC07H1G1386.2;RHC07H1G1387.2;RHC07H1G1388.2;RHC07H1G1389.2;RHC07H1G1390.2	RHC07H1G1358.2;RHC07H1G1359.2;RHC07H1G1360.2;RHC07H1G1361.2;RHC07H1G1362.2;RHC07H1G1363.2;RHC07H1G1364.2;RHC07H1G1365.2;RHC07H1G1366.2;RHC07H1G1367.2;RHC07H1G1368.2;RHC07H1G1369.2;RHC07H1G1370.2;RHC07H1G1371.2;RHC07H1G1372.2;RHC07H1G1373.2;RHC07H1G1374.2;RHC07H1G1375.2;RHC07H1G1376.2;RHC07H1G1377.2;RHC07H1G1378.2;RHC07H1G1379.2;RHC07H1G1380.2;RHC07H1G1381.2;RHC07H1G1382.2;RHC07H1G1383.2;RHC07H1G1384.2;RHC07H1G1385.2;RHC07H1G1386.2;RHC07H1G1387.2;RHC07H1G1388.2;RHC07H1G1389.2;RHC07H1G1390.2
chr7_2	chr7_2	saccharide	RHC07H2G1335.2;RHC07H2G1336.2;RHC07H2G1337.2;RHC07H2G1338.2;RHC07H2G1339.2;RHC07H2G1340.2;RHC07H2G1341.2;RHC07H2G1342.2;RHC07H2G1343.2;RHC07H2G1344.2	RHC07H2G1335.2;RHC07H2G1336.2;RHC07H2G1337.2;RHC07H2G1338.2;RHC07H2G1339.2;RHC07H2G1340.2;RHC07H2G1341.2;RHC07H2G1342.2;RHC07H2G1343.2;RHC07H2G1344.2
